,datetime,PM10,PM2_5,NITROGEN_DIOXIDE,SULPHUR_DIOXIDE,OZONE,CARBON_MONOXIDE,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
0,2022-10-01 00:00:00+00:00,193.2,127.6,88.3,71.8,12.0,1705.0,23.16,87.95,0.39,295.9,0.0,0.0
1,2022-10-01 01:00:00+00:00,177.0,118.0,88.6,63.5,16.0,1684.0,23.17,91.82,0.56,264.9,0.0,87.18
2,2022-10-01 02:00:00+00:00,166.2,111.5,88.7,51.8,22.0,1649.0,24.52,86.87,1.21,259.5,0.0,266.83
3,2022-10-01 03:00:00+00:00,151.8,100.8,81.7,39.8,41.0,1499.0,26.61,80.77,1.28,266.4,0.0,475.2
4,2022-10-01 04:00:00+00:00,120.6,78.5,65.3,37.9,73.0,1228.0,29.57,65.0,1.57,286.7,0.01,645.4
5,2022-10-01 05:00:00+00:00,101.0,64.7,43.0,39.2,115.0,870.0,30.87,59.83,2.0,308.7,0.01,747.5
6,2022-10-01 06:00:00+00:00,88.0,55.4,19.6,39.5,158.0,492.0,31.54,57.36,2.41,318.2,0.01,755.1
7,2022-10-01 07:00:00+00:00,81.7,50.9,11.9,35.0,172.0,362.0,31.94,56.34,2.69,321.3,0.01,720.75
8,2022-10-01 08:00:00+00:00,77.5,47.6,9.4,28.8,176.0,311.0,32.31,54.07,2.9,322.1,0.02,635.65
9,2022-10-01 09:00:00+00:00,74.0,44.9,15.2,23.4,166.0,358.0,32.14,53.24,2.83,322.0,0.01,494.23
10,2022-10-01 10:00:00+00:00,73.3,44.2,30.0,23.9,141.0,470.0,31.41,57.01,2.3,322.6,0.01,307.3
11,2022-10-01 11:00:00+00:00,78.2,48.8,51.5,26.8,104.0,654.0,30.05,61.72,1.99,324.4,0.0,124.18
12,2022-10-01 12:00:00+00:00,95.5,61.7,72.6,33.0,66.0,936.0,27.29,79.67,1.02,329.9,0.0,10.12
13,2022-10-01 13:00:00+00:00,115.9,75.2,80.2,40.9,53.0,1392.0,26.08,80.56,0.94,340.0,0.0,0.0
14,2022-10-01 14:00:00+00:00,136.0,88.7,90.9,52.3,34.0,2048.0,25.86,78.57,0.91,354.3,0.0,0.0
15,2022-10-01 15:00:00+00:00,154.6,100.8,102.1,71.2,13.0,2974.0,25.64,76.91,0.9,10.9,0.0,0.0
